headerWelcome.started,headerWelcome.stopped,welcomeText.started,welcomeText.stopped,instructContinue3.started,instructContinue3.stopped,key_resp_00.keys,key_resp_00.rt,key_resp_00.started,key_resp_00.stopped,welcomeReading.started,welcomeReading.stopped,key_resp_01.keys,key_resp_01.rt,key_resp_01.started,key_resp_01.stopped,headerReading.started,headerReading.stopped,instructContinue2.started,instructContinue2.stopped,explainCalib.started,explainCalib.stopped,instructContinue4.started,instructContinue4.stopped,key_resp_02.keys,key_resp_02.rt,key_resp_02.started,key_resp_02.stopped,participant,session,date,expName,psychopyVersion,frameRate,
73.23723011100083,None,73.23723011100083,None,73.23723011100083,None,space,6.532138811016921,73.23723011100083,None,,,,,,,,,,,,,,,,,,,13,001,2021_Dec_23_1453,read-aloud-o_s1_r2_e1,2021.2.3,None,
,,,,,,,,,,79.79522408600315,None,space,0.6399312959983945,79.79522408600315,None,,,,,,,,,,,,,13,001,2021_Dec_23_1453,read-aloud-o_s1_r2_e1,2021.2.3,None,
,,,,,,,,,,,,,,,,79.79522408600315,None,79.79522408600315,None,80.46324217200163,None,80.46324217200163,None,space,1.0613650440063793,80.46324217200163,None,13,001,2021_Dec_23_1453,read-aloud-o_s1_r2_e1,2021.2.3,None,
