left,right,middle,corrAns
resources/dccs/RedRabbitWhite.png,resources/dccs/BlueBoatWhite.png,resources/dccs/RedBoat.png,j
resources/dccs/RedRabbitWhite.png,resources/dccs/BlueBoatWhite.png,resources/dccs/BlueBoat.png,j
resources/dccs/RedRabbitWhite.png,resources/dccs/BlueBoatWhite.png,resources/dccs/RedRabbit.png,f
resources/dccs/RedRabbitWhite.png,resources/dccs/BlueBoatWhite.png,resources/dccs/BlueRabbit.png,f
