Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
dogshow_neg.txt,1,102,88.12,20,3.12,1,14.57,28.43,76.47,57.84,50.98,11.76,3.92,0,0,0,0,3.92,7.84,18.63,6.86,0,16.67,4.9,0.98,5.88,0.98,9.8,3.92,1.96,5.88,0,2.94,5.88,13.73,0,13.73,0.98,3.92,0.98,0,0,6.86,0,5.88,0,5.88,2.94,0,2.94,0.98,0.98,0,0,6.86,2.94,0,0,0.98,0.98,1.96,3.92,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,6.86,3.92,0.98,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0.98,3.92,0.98,0,0.98,1.96,0,0,0,0.98,4.9,0,0,0,0,0,0,14.71,5.88,8.82,0,0,0,0
dogshow_pos.txt,1,103,90.8,34.53,12.02,89.4,17.17,21.36,77.67,60.19,51.46,6.8,0.97,0,0,0,0,0.97,5.83,18.45,11.65,0,14.56,8.74,3.88,5.83,0,12.62,4.85,1.94,4.85,0,3.88,1.94,11.65,0,11.65,2.91,3.88,0.97,0.97,0.97,1.94,0,4.85,4.85,0,1.94,1.94,0,0,0,0,0,3.88,2.91,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,3.88,0,0.97,1.94,0,0.97,0.97,0.97,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0.97,0.97,0,2.91,11.65,1.94,1.94,4.85,2.91,0,0,0.97,1.94,6.8,0,0,0,0,0,0,15.53,5.83,3.88,0,0,0,5.83
dolphins_neg.txt,1,97,86.42,40.06,2.43,1,16.17,32.99,74.23,52.58,47.42,5.15,1.03,0,0,0,0,1.03,4.12,13.4,7.22,0,13.4,8.25,5.15,4.12,0,11.34,3.09,4.12,2.06,0,1.03,2.06,14.43,2.06,12.37,2.06,6.19,3.09,0,1.03,1.03,0,7.22,0,7.22,2.06,0,1.03,1.03,0,0,0,4.12,3.09,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,1.03,0,0,1.03,0,0,7.22,3.09,3.09,0,0,0,0,0,3.09,0,0,0,0,0,0,0,1.03,0,0,11.34,1.03,2.06,4.12,0,4.12,0,1.03,2.06,7.22,0,0,0,0,0,0,12.37,6.19,5.15,0,0,0,1.03
dolphins_pos.txt,1,101,98.93,74.01,40.77,98.32,14.43,28.71,79.21,61.39,46.53,3.96,2.97,0,0,0,0,1.98,0.99,16.83,11.88,0.99,16.83,4.95,0.99,4.95,0,9.9,9.9,5.94,3.96,2.97,0.99,0,3.96,0,3.96,1.98,0,0.99,0.99,0,0.99,0,6.93,6.93,0,2.97,2.97,0,0,0,0,0,9.9,3.96,0.99,0,0,0,0,6.93,0,0,0,0.99,1.98,0,1.98,0,1.98,0.99,0,0,0.99,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96,13.86,0,1.98,7.92,1.98,0.99,0.99,4.95,6.93,2.97,0,0,0,0,0,0,10.89,5.94,4.95,0,0,0,0
flying_neg.txt,1,75,98.78,47.97,72.01,1,15,26.67,80,56,45.33,2.67,1.33,0,0,1.33,0,0,1.33,18.67,9.33,1.33,16,2.67,1.33,5.33,0,8,5.33,6.67,6.67,0,1.33,6.67,9.33,0,9.33,0,5.33,0,2.67,0,1.33,0,4,0,4,1.33,0,1.33,0,1.33,0,0,4,2.67,1.33,1.33,1.33,0,0,1.33,0,0,0,0,0,0,0,0,4,0,0,2.67,1.33,0,4,2.67,1.33,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0,0,2.67,14.67,0,5.33,9.33,0,0,0,5.33,4,2.67,0,0,0,0,0,0,12,6.67,4,0,0,1.33,0
flying_pos.txt,1,78,98.28,32.84,66.8,79.29,13,23.08,83.33,67.95,56.41,5.13,0,0,0,0,0,0,5.13,21.79,12.82,2.56,19.23,7.69,2.56,3.85,1.28,15.38,3.85,6.41,2.56,1.28,1.28,0,7.69,3.85,3.85,0,0,0,0,0,2.56,0,3.85,3.85,0,0,0,0,0,0,0,0,5.13,2.56,1.28,0,0,0,0,2.56,0,1.28,0,0,0,0,0,0,1.28,1.28,0,0,0,0,2.56,0,0,0,0,2.56,0,1.28,0,0,0,1.28,0,0,0,0,0,0,3.85,15.38,0,6.41,7.69,1.28,0,0,3.85,8.97,1.28,0,0,0,0,0,0,15.38,6.41,7.69,0,0,0,1.28
grizzly_neg.txt,1,72,96.24,48.31,3.81,1,14.4,27.78,76.39,65.28,45.83,5.56,4.17,0,0,0,0,4.17,1.39,22.22,11.11,4.17,12.5,6.94,0,4.17,0,11.11,9.72,16.67,4.17,0,1.39,2.78,6.94,0,6.94,0,2.78,1.39,1.39,0,2.78,0,8.33,1.39,6.94,5.56,0,5.56,4.17,1.39,0,0,6.94,2.78,0,0,2.78,0,0,4.17,0,0,0,0,0,0,0,0,1.39,1.39,0,0,0,0,2.78,1.39,0,1.39,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,2.78,8.33,0,0,6.94,1.39,0,0,0,0,6.94,0,0,0,0,0,0,11.11,5.56,5.56,0,0,0,0
grizzly_pos.txt,1,74,94.09,77.82,13.97,98.04,14.8,25.68,79.73,59.46,47.3,6.76,4.05,0,0,0,0,4.05,2.7,16.22,9.46,0,16.22,8.11,1.35,5.41,0,14.86,6.76,1.35,6.76,1.35,2.7,2.7,8.11,0,8.11,0,2.7,2.7,0,0,0,0,6.76,6.76,0,1.35,1.35,0,0,0,0,0,9.46,2.7,0,0,0,0,0,6.76,1.35,0,2.7,0,0,0,0,0,2.7,0,0,1.35,1.35,0,6.76,1.35,0,1.35,0,0,0,6.76,0,2.7,0,0,0,1.35,0,0,0,0,1.35,9.46,0,2.7,6.76,0,0,0,5.41,2.7,9.46,1.35,0,0,0,0,0,9.46,6.76,1.35,0,0,0,1.35
icefishing_neg.txt,1,78,99,69.89,39.59,20.23,13,11.54,69.23,61.54,53.85,6.41,3.85,0,0,3.85,0,0,2.56,19.23,16.67,0,17.95,3.85,1.28,5.13,0,7.69,3.85,2.56,0,0,0,0,5.13,0,5.13,0,1.28,1.28,1.28,0,2.56,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,1.28,1.28,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,2.56,1.28,17.95,2.56,2.56,10.26,3.85,0,1.28,2.56,2.56,1.28,2.56,0,0,0,0,0,16.67,7.69,7.69,0,0,0,1.28
icefishing_pos.txt,1,78,87.66,40.06,1.74,97.2,19.5,21.79,82.05,69.23,47.44,6.41,1.28,0,0,1.28,0,0,5.13,17.95,8.97,0,14.1,5.13,3.85,8.97,0,12.82,14.1,6.41,2.56,0,1.28,1.28,11.54,3.85,8.97,1.28,0,3.85,0,0,2.56,0,7.69,6.41,0,2.56,1.28,0,0,0,0,0,1.28,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,3.85,1.28,0,0,2.56,0,3.85,0,0,0,0,0,0,2.56,0,1.28,1.28,1.28,0,1.28,0,0,1.28,1.28,2.56,7.69,1.28,2.56,1.28,1.28,0,1.28,2.56,1.28,5.13,0,0,0,0,0,0,11.54,3.85,3.85,0,0,0,3.85
